TIME_PERIOD,Net Migration (World Bank),Air Passenger Transport,Population,Employment,Emigration of Citizens,Exports (National Accounts),GDP (Quarterly),Energy Prices,Inflation (HICP Manufacturing),Road Passenger Transport,Industrial Production Index,Retail Trade Turnover,Tourist Overnight Stays,Freight Transport,Unemployment Rate
2001-02-01,,,,,,,,,149.9,,40533.2,8740.6,,,2308.7
2001-03-01,,,,,,,,,198.5,,48265.0,9484.8,,,2263.5
2001-04-01,,,,,,,1037923.035,,178.2,,41249.1,9353.41,,,2197.1
2001-05-01,,,,,,,,,294.8,,45191.3,9525.71,,,2163.0
2001-06-01,,,,,,,,,355.5,,43753.1,9347.24,,,2144.4
2001-07-01,,,,,,,1031402.032,,366.4,,44193.6,9249.46,,,2146.0
2001-08-01,,,,,,,,,339.8,,44961.9,9421.04,,,2146.0
2001-09-01,,,,,,,,,387.6,,931721.7,9010.69,,,2150.0
2001-10-01,,,,,,,1138280.971,,347.8,,46461.7,9357.86,,,2316.5
2001-11-01,,,,,,,,,318.5,,3202374.8,9300.86,,,2250.8
2001-12-01,,,,,,,,,323.7,,43510.8,9770.17,,,2147.9
2002-01-01,-9160.0,,9283824.0,,126910.0,327077.6,990307.63,,365.4,25415.6,43020.3,9031.8,,,2029.9
2002-02-01,,,,,,,,,372.3,,39252.3,8479.11,,,2005.6
2002-03-01,,,,,,,,,389.3,,42432.0,9837.89,,,2097.0
2002-04-01,,,,,,,1102877.139,,377.7,,45098.8,9608.99,,,2263.6
2002-05-01,,,,,,,,,300.9,,44780.8,10360.98,,,2288.5
2002-06-01,,,,,,,,,180.6,,44853.3,9869.52,,,2161.5
2002-07-01,,,,,,,1113630.142,,233.3,,45452.4,10544.97,,,1897.8
2002-08-01,,,,,,,,,225.1,,49749.9,11068.11,,,1808.0
2002-09-01,,,,,,,,,235.4,,46577.3,10714.05,,,1831.8
2002-10-01,,,,,,,1200668.411,,305.90000000000003,,50353.0,11282.83,,,1972.9
2002-11-01,,,,,,,,,297.6,,49381.5,11086.24,,,2049.2
2002-12-01,,,,,,,,,278.4,,48015.5,12391.48,,,2025.1
2003-01-01,-11422.0,,9197560.0,,125364.0,356708.5,1081378.499,,354.59999999999997,27295.6,42850.5,9941.74,246492.0,,1927.0
2003-02-01,,,,,,,,,414.3,,42698.6,10195.27,278184.0,,1882.4
2003-03-01,,,,,,,,,428.7,,44500.9,10833.4,319026.0,,1868.9
2003-04-01,,,,,,,1182110.286,,447.0,,45033.0,10891.73,366282.0,,1878.8
2003-05-01,,,,,,,,,452.2,,47366.7,11772.55,501490.0,,1916.2
2003-06-01,,,,,,,,,592.9,,46080.7,11711.0,609070.0,,1962.2
2003-07-01,,,,,,,1230072.53,,568.2,,47341.1,12267.17,846050.0,,2022.5
2003-08-01,,,,,,,,,541.1,,46987.8,11873.78,781828.0,,2031.2
2003-09-01,,,,,,,,,538.3,,50769.6,11978.21,502636.0,,1965.2
2003-10-01,,,,,,,1299721.083,,591.6,,50827.6,12751.57,420568.0,,1814.1
2003-11-01,,,,,,,,,650.3,,48917.3,11676.82,354372.0,,1749.1
2003-12-01,,,,,,,,,636.6,,49555.3,13993.99,319912.0,,1793.3
2004-01-01,-15136.0,34195328.0,9106080.0,,161696.0,426237.2,1201939.833,,640.3,29589.4,44690.4,11352.66,287485.0,,1922.3
2004-02-01,,1383188.0,,,,,,,686.5,,47746.2,11568.18,306542.9,,1996.6
2004-03-01,,1728852.0,,,,,,,728.6,,52162.5,12798.94,337826.6,,1991.7
2004-04-01,,9242228.0,,,,,1348867.694,,757.9,,52749.2,13808.33,408713.9,,1929.9
2004-05-01,,2416876.0,,,,,,,1053.2,,49424.3,12967.09,543683.9,,1876.2
2004-06-01,,2751688.0,,,,,,,1043.8,,48177.7,13021.27,719191.4,,1837.9
2004-07-01,,11175700.0,,,,,1375050.714,,1113.9,,49283.8,13458.99,1015021.8,,1842.1
2004-08-01,,2881652.0,,,,,,,1218.5,,47966.9,13851.83,973854.5,,1874.9
2004-09-01,,2780280.0,,,,,,,1163.5,,52060.0,13779.01,583663.6,,1930.5
2004-10-01,,10752756.0,,,,,1472487.33,,1072.9,,52919.9,14159.49,485240.4,,1976.6
2004-11-01,,2806444.0,,,,,,,1064.6,,51960.6,14180.35,440406.5,,1983.4
2004-12-01,,2839104.0,,,,,,,1144.1,,51421.5,15893.89,435579.7,,1937.1
2005-01-01,-11134.0,61345564.0,8998896.0,,141326.0,524797.1,1351378.435,,1076.9,31164.8,48658.0,14932.66,381124.53,115.5,1855.8
2005-02-01,,2619136.0,,,,,,,1095.9,,48504.8,14177.68,382609.37,,1799.7
2005-03-01,,3516932.0,,,,,,,1048.2,,51682.3,15128.55,466068.27,,1760.8
2005-04-01,,16789508.0,,,,,1498235.763,,1218.1,,52876.4,15634.11,563427.94,,1712.9
2005-05-01,,4394240.0,,,,,,,968.3,,53595.0,15656.01,761249.71,,1673.6
2005-06-01,,4856204.0,,,,,,,960.6999999999999,,55734.9,16446.25,942789.3,,1621.6
2005-07-01,,19943600.0,,,,,1572256.013,,933.9,,54420.9,17139.98,1219649.3,,1576.3
2005-08-01,,5111788.0,,,,,,,963.3,,54558.1,17662.73,1191079.11,,1533.7
2005-09-01,,4698284.0,,,,,,,1091.2,,56660.9,17226.91,742131.55,,1506.5
2005-10-01,,17652692.0,,,,,1734402.529,,1152.3,,58469.4,17996.44,711442.81,,1459.9
2005-11-01,,4100656.0,,,,,,,1160.2,,57868.8,17861.27,573752.9,,1416.6
2005-12-01,,4130580.0,,,,,,,1087.0,,56920.4,20442.76,566902.59,,1392.5
2006-01-01,-9211.0,80105808.0,8911496.0,,136288.0,624743.9,1567390.862,,1178.2,34635.3,52390.8,18227.88,474998.98,90.4,1389.3
2006-02-01,,3824384.0,,,,,,,1158.6000000000001,,53735.7,18187.33,457882.36,,1383.2
2006-03-01,,4786688.0,,,,,,,1128.1,,57544.1,19261.42,544191.24,,1350.9
2006-04-01,,21439740.0,,,,,1753400.502,,973.6,,55862.2,19724.18,667196.37,,1283.1
2006-05-01,,5565324.0,,,,,,,1122.9,,56890.5,20421.5,880183.74,,1214.1
2006-06-01,,5880904.0,,,,,,,1014.8,,59384.9,20937.19,1008187.0599999999,,1125.3
2006-07-01,,24488288.0,,,,,1878634.892,,1134.6,,55394.7,21132.81,1431724.4,,1056.5
2006-08-01,,6297240.0,,,,,,,1140.6,,59925.6,22113.1,1514426.3900000001,,1021.2
2006-09-01,,5929016.0,,,,,,,1050.1,,59944.6,22167.07,881621.8,,1026.7
2006-10-01,,21014996.0,,,,,2073489.54,,984.7,,61776.2,23430.91,810270.11,,1054.3
2006-11-01,,4902384.0,,,,,,,1063.5,,59554.5,22503.71,683818.05,,1081.5
2006-12-01,,4938964.0,,,,,,,1148.6,,60573.7,27358.17,621995.79,,1119.4
2007-01-01,-8027.0,97133576.0,8835360.0,,123956.0,745120.7,1943667.785,,1180.3,38190.42,55193.9,23004.35,606847.48,89.6,1140.5
2007-02-01,,4482896.0,,,,,,,1276.0,,54655.2,23148.71,588675.17,,1149.3
2007-03-01,,5534776.0,,,,,,,1424.6,,63148.8,24560.84,726551.73,,1121.3
2007-04-01,,26439024.0,,,,,2113181.121,,1501.6,,55908.3,24083.31,760746.83,,1064.5
2007-05-01,,6739876.0,,,,,,,1400.0,,59662.7,25474.24,895694.92,,1028.3
2007-06-01,,7460476.0,,,,,,,1551.0,,58990.0,25748.54,1133050.52,,1005.7
2007-07-01,,30724364.0,,,,,2172045.082,229.1877,1569.4,,55784.0,26052.6,1474125.0,,1014.6
2007-08-01,,7918020.0,,,,,,,1608.1,,59904.5,26141.74,1338619.43,,997.8
2007-09-01,,7356816.0,,,,,,,1805.1,,57093.7,25093.57,917870.75,,951.3
2007-10-01,,26168588.0,,,,,2200834.055,,2067.5,,59754.4,26162.39,795536.13,,875.8
2007-11-01,,6058432.0,,,,,,,2078.3,,59112.8,25609.87,675890.24,,866.7
2007-12-01,,5934108.0,,,,,,,2123.8,,56303.8,27168.15,608616.25,,928.0
2008-01-01,-22445.0,113233612.0,8767240.0,,216588.0,717661.8,1997178.459,238.6793,2251.9,17168.8,55172.6,23673.89,601639.59,95.8,1061.2
2008-02-01,,5470080.0,,,,,,,2417.5,,60727.4,23833.58,615172.67,,1135.1
2008-03-01,,6430180.0,,,,,,,2450.5,,59442.8,24523.13,674061.3099999999,,1143.6
2008-04-01,,29782544.0,,,,,2093958.821,,2533.4,,60141.7,24827.94,755200.09,,1100.9
2008-05-01,,7928748.0,,,,,,,2602.8,,57938.3,24584.670000000002,1026906.89,,1102.5
2008-06-01,,8476604.0,,,,,,,2550.9,,56207.8,24393.79,1223692.25,,1111.0
2008-07-01,,36999920.0,,,,,2071775.447,423.6378,2443.6,,53440.8,24695.23,1774268.02,,1167.1
2008-08-01,,9441108.0,,,,,,,2333.8,,52087.2,24026.16,1528461.24,,1268.6
2008-09-01,,8648932.0,,,,,,,2226.0,,54772.3,23238.77,982615.33,,1406.7
2008-10-01,,29481892.0,,,,,2003103.22,,2098.3,,54990.2,22326.82,794853.5800000001,,1597.6
2008-11-01,,6624052.0,,,,,,,1904.0,,51459.4,21177.29,663505.76,,1797.7
2008-12-01,,6792448.0,,,,,,,1782.9,,48472.9,23150.24,594923.83,,1991.3
